playing,user,song
6,60a102fd16cd1820722eaf6a,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf6b,607e49279db0e834cf759689
3,60a102fd16cd1820722eaf6c,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf6d,607e49279db0e834cf759689
3,60a102fd16cd1820722eaf6e,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf6f,607e49279db0e834cf759689
5,60a102fd16cd1820722eaf70,607e49279db0e834cf759689
6,60a102fd16cd1820722eaf71,607e49279db0e834cf759689
8,60a102fd16cd1820722eaf72,607e49279db0e834cf759689
4,60a102fd16cd1820722eaf73,607e49279db0e834cf759689
9,60a102fd16cd1820722eaf74,607e49279db0e834cf759689
1,60a102fd16cd1820722eaf75,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf76,607e49279db0e834cf759689
1,60a102fd16cd1820722eaf77,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf78,607e49279db0e834cf759689
5,60a102fd16cd1820722eaf79,607e49279db0e834cf759689
3,60a102fd16cd1820722eaf7a,607e49279db0e834cf759689
4,60a102fd16cd1820722eaf7b,607e49279db0e834cf759689
6,60a102fd16cd1820722eaf7c,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf7d,607e49279db0e834cf759689
8,60a102fd16cd1820722eaf7e,607e49279db0e834cf759689
4,60a102fd16cd1820722eaf7f,607e49279db0e834cf759689
1,60a102fd16cd1820722eaf80,607e49279db0e834cf759689
8,60a102fd16cd1820722eaf81,607e49279db0e834cf759689
2,60a102fd16cd1820722eaf82,607e49279db0e834cf759689
3,60a102fd16cd1820722eaf83,607e49279db0e834cf759689
2,60a102fd16cd1820722eaf84,607e49279db0e834cf759689
3,60a102fd16cd1820722eaf85,607e49279db0e834cf759689
9,60a102fd16cd1820722eaf86,607e49279db0e834cf759689
9,60a102fd16cd1820722eaf87,607e49279db0e834cf759689
1,60a102fd16cd1820722eaf88,607e49279db0e834cf759689
6,60a102fd16cd1820722eaf89,607e49279db0e834cf759689
8,60a102fd16cd1820722eaf8a,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf8b,607e49279db0e834cf759689
3,60a102fd16cd1820722eaf8c,607e49279db0e834cf759689
8,60a102fd16cd1820722eaf8d,607e49279db0e834cf759689
7,60a102fd16cd1820722eaf8e,607e49279db0e834cf759689
2,60a102fd16cd1820722eaf8f,607e49279db0e834cf759689
4,60a102fd16cd1820722eaf90,607e49279db0e834cf759689
5,60a102fd16cd1820722eaf91,607e49279db0e834cf759689
9,60a102fd16cd1820722eaf6a,607e49279db0e834cf75968a
4,60a102fd16cd1820722eaf6b,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf6c,607e49279db0e834cf75968a
9,60a102fd16cd1820722eaf6d,607e49279db0e834cf75968a
5,60a102fd16cd1820722eaf6e,607e49279db0e834cf75968a
2,60a102fd16cd1820722eaf6f,607e49279db0e834cf75968a
2,60a102fd16cd1820722eaf70,607e49279db0e834cf75968a
5,60a102fd16cd1820722eaf71,607e49279db0e834cf75968a
6,60a102fd16cd1820722eaf72,607e49279db0e834cf75968a
7,60a102fd16cd1820722eaf73,607e49279db0e834cf75968a
7,60a102fd16cd1820722eaf74,607e49279db0e834cf75968a
1,60a102fd16cd1820722eaf75,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf76,607e49279db0e834cf75968a
2,60a102fd16cd1820722eaf77,607e49279db0e834cf75968a
6,60a102fd16cd1820722eaf78,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf79,607e49279db0e834cf75968a
1,60a102fd16cd1820722eaf7a,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf7b,607e49279db0e834cf75968a
1,60a102fd16cd1820722eaf7c,607e49279db0e834cf75968a
1,60a102fd16cd1820722eaf7d,607e49279db0e834cf75968a
7,60a102fd16cd1820722eaf7e,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf7f,607e49279db0e834cf75968a
6,60a102fd16cd1820722eaf80,607e49279db0e834cf75968a
2,60a102fd16cd1820722eaf81,607e49279db0e834cf75968a
3,60a102fd16cd1820722eaf82,607e49279db0e834cf75968a
3,60a102fd16cd1820722eaf83,607e49279db0e834cf75968a
5,60a102fd16cd1820722eaf84,607e49279db0e834cf75968a
6,60a102fd16cd1820722eaf85,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf86,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf87,607e49279db0e834cf75968a
1,60a102fd16cd1820722eaf88,607e49279db0e834cf75968a
6,60a102fd16cd1820722eaf89,607e49279db0e834cf75968a
1,60a102fd16cd1820722eaf8a,607e49279db0e834cf75968a
3,60a102fd16cd1820722eaf8b,607e49279db0e834cf75968a
4,60a102fd16cd1820722eaf8c,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf8d,607e49279db0e834cf75968a
3,60a102fd16cd1820722eaf8e,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf8f,607e49279db0e834cf75968a
8,60a102fd16cd1820722eaf90,607e49279db0e834cf75968a
3,60a102fd16cd1820722eaf91,607e49279db0e834cf75968a
3,60a102fd16cd1820722eaf6a,607e49279db0e834cf75968b
5,60a102fd16cd1820722eaf6b,607e49279db0e834cf75968b
6,60a102fd16cd1820722eaf6c,607e49279db0e834cf75968b
2,60a102fd16cd1820722eaf6d,607e49279db0e834cf75968b
4,60a102fd16cd1820722eaf6e,607e49279db0e834cf75968b
2,60a102fd16cd1820722eaf6f,607e49279db0e834cf75968b
1,60a102fd16cd1820722eaf70,607e49279db0e834cf75968b
6,60a102fd16cd1820722eaf71,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf72,607e49279db0e834cf75968b
4,60a102fd16cd1820722eaf73,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf74,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf75,607e49279db0e834cf75968b
4,60a102fd16cd1820722eaf76,607e49279db0e834cf75968b
1,60a102fd16cd1820722eaf77,607e49279db0e834cf75968b
9,60a102fd16cd1820722eaf78,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf79,607e49279db0e834cf75968b
2,60a102fd16cd1820722eaf7a,607e49279db0e834cf75968b
4,60a102fd16cd1820722eaf7b,607e49279db0e834cf75968b
2,60a102fd16cd1820722eaf7c,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf7d,607e49279db0e834cf75968b
6,60a102fd16cd1820722eaf7e,607e49279db0e834cf75968b
2,60a102fd16cd1820722eaf7f,607e49279db0e834cf75968b
6,60a102fd16cd1820722eaf80,607e49279db0e834cf75968b
8,60a102fd16cd1820722eaf81,607e49279db0e834cf75968b
1,60a102fd16cd1820722eaf82,607e49279db0e834cf75968b
9,60a102fd16cd1820722eaf83,607e49279db0e834cf75968b
4,60a102fd16cd1820722eaf84,607e49279db0e834cf75968b
8,60a102fd16cd1820722eaf85,607e49279db0e834cf75968b
7,60a102fd16cd1820722eaf86,607e49279db0e834cf75968b
7,60a102fd16cd1820722eaf87,607e49279db0e834cf75968b
7,60a102fd16cd1820722eaf88,607e49279db0e834cf75968b
2,60a102fd16cd1820722eaf89,607e49279db0e834cf75968b
8,60a102fd16cd1820722eaf8a,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf8b,607e49279db0e834cf75968b
9,60a102fd16cd1820722eaf8c,607e49279db0e834cf75968b
7,60a102fd16cd1820722eaf8d,607e49279db0e834cf75968b
9,60a102fd16cd1820722eaf8e,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf8f,607e49279db0e834cf75968b
5,60a102fd16cd1820722eaf90,607e49279db0e834cf75968b
3,60a102fd16cd1820722eaf91,607e49279db0e834cf75968b
9,60a102fd16cd1820722eaf6a,607e49279db0e834cf75968c
4,60a102fd16cd1820722eaf6b,607e49279db0e834cf75968c
5,60a102fd16cd1820722eaf6c,607e49279db0e834cf75968c
8,60a102fd16cd1820722eaf6d,607e49279db0e834cf75968c
8,60a102fd16cd1820722eaf6e,607e49279db0e834cf75968c
8,60a102fd16cd1820722eaf6f,607e49279db0e834cf75968c
5,60a102fd16cd1820722eaf70,607e49279db0e834cf75968c
2,60a102fd16cd1820722eaf71,607e49279db0e834cf75968c
7,60a102fd16cd1820722eaf72,607e49279db0e834cf75968c
6,60a102fd16cd1820722eaf73,607e49279db0e834cf75968c
4,60a102fd16cd1820722eaf74,607e49279db0e834cf75968c
1,60a102fd16cd1820722eaf75,607e49279db0e834cf75968c
8,60a102fd16cd1820722eaf76,607e49279db0e834cf75968c
5,60a102fd16cd1820722eaf77,607e49279db0e834cf75968c
7,60a102fd16cd1820722eaf78,607e49279db0e834cf75968c
1,60a102fd16cd1820722eaf79,607e49279db0e834cf75968c
4,60a102fd16cd1820722eaf7a,607e49279db0e834cf75968c
4,60a102fd16cd1820722eaf7b,607e49279db0e834cf75968c
1,60a102fd16cd1820722eaf7c,607e49279db0e834cf75968c
2,60a102fd16cd1820722eaf7d,607e49279db0e834cf75968c
7,60a102fd16cd1820722eaf7e,607e49279db0e834cf75968c
3,60a102fd16cd1820722eaf7f,607e49279db0e834cf75968c
