"_id","title"
"607e45cf9f1c342af54674bd","Laylalay"
"607e45cf9f1c342af54674be","Sài Gòn Đau Lòng Quá"
"607e45cf9f1c342af54674bf","Câu Hẹn Câu Thề"
"607e45cf9f1c342af54674c0","Chỉ Là Không Cùng Nhau (Live)"
"607e45cf9f1c342af54674c1","Tháng Mấy Em Nhớ Anh?"
"607e45cf9f1c342af54674c2","Yêu Thầm"
"607e45cf9f1c342af54674c3","Giữa Đại Lộ Đông Tây (Live At XHTDRLX)"
"607e45cf9f1c342af54674c4","Gửi Lại Anh"
"607e45cf9f1c342af54674c5","Người Khóc Cùng Anh"
"607e45cf9f1c342af54674c6","Downtown Baby"
"607e45cf9f1c342af54674c7","Chỉ Là Không Cùng Nhau (Lofi Version)"
"607e45cf9f1c342af54674c8","Giữa Đại Lộ Đông Tây"
"607e45cf9f1c342af54674c9","Mưa Đêm"
"607e45cf9f1c342af54674ca","Một Lần Là Người Ấy"
"607e45cf9f1c342af54674cb","Mộng Mơ"
"607e45cf9f1c342af54674cc","Thiên Hạ Hữu Tình Nhân"
"607e45cf9f1c342af54674cd","Hết Duyên Tình Tan"
"607e45cf9f1c342af54674ce","Mình Đừng Quên Nhau"
"607e45cf9f1c342af54674cf","Sao Cha Không (Bố Già OST)"
"607e45cf9f1c342af54674d0","Chị Mẹ Học Yêu (Chị Mẹ Học Yêu OST)"
"607e45cf9f1c342af54674d1","Dù Có Ra Sao"
"607e45cf9f1c342af54674d2","Tình Mơ"
"607e45cf9f1c342af54674d3","Em Hãy Nín Đi"
"607e45cf9f1c342af54674d4","Gặp Lại Nhau (Acoustic Version)"
"607e45cf9f1c342af54674d5","Nhớ Người Hay Nhớ (Lofi Version)"
"607e45cf9f1c342af54674d6","Đóa Bạch Trà"
"607e45cf9f1c342af54674d7","Giận Em Lắm"
"607e465901238d2ca3833ef7","Mùa Hoa Bỏ Lại"
"607e465901238d2ca3833ef8","Cố Quên Con Đò"
"607e465901238d2ca3833ef9","Sương Trắng Miền Quê Ngoại"
"607e465901238d2ca3833efa","LK Sến Nhảy: Chiều Cuối Tuần Ai -  Cho Tôi Tình Yêu - Người Tình Không Đến"
"607e465901238d2ca3833efb","LK Đồng Xanh - Giàn Thiên Lý Đã Xa"
"607e465901238d2ca3833efc","Mèo Hoang"
"607e465901238d2ca3833efd","Kiếp Nào Có Yêu Nhau - Kiếp Đam Mê"
"607e465901238d2ca3833efe","Phố Mùa Đông"
"607e465901238d2ca3833eff","Giã Từ"
"607e465901238d2ca3833f00","Hoa Cúc Nhớ Mẹ (Live)"
"607e465901238d2ca3833f01","Hoa Mắc Cỡ"
"607e465901238d2ca3833f02","Tình Ca Hội An"
"607e465901238d2ca3833f03","Mùa Xuân Trong Thư Em"
"607e465901238d2ca3833f04","Bài Ca Tết Cho Em"
"607e465901238d2ca3833f05","Sắc Màu Quê Hương (Gala Nhạc Việt 15)"
"607e465901238d2ca3833f06","Ốc Đắng Buồn Ai"
"607e465901238d2ca3833f07","Ngày Tết Quê Em (Gala Nhạc Việt 15)"
"607e465901238d2ca3833f08","Sắc Màu Quê Hương (Gala Nhạc Việt 15)"
"607e465901238d2ca3833f09","Xuân Tha Hương (Gala Nhạc Việt 15)"
"607e465901238d2ca3833f0a","Khúc Hát Săn Mây"
"607e465901238d2ca3833f0b","Sắc Màu Quê Hương"
"607e46d37d1b9f2de9389a48","Chỉ Là Không Cùng Nhau Remix"
"607e46d37d1b9f2de9389a49","Tình Yêu Màu Hồng Remix"
"607e46d37d1b9f2de9389a4a","Chỉ Là Không Cùng Nhau (Orinn EDM Remix)"
"607e46d37d1b9f2de9389a4b","Laylalay (Trực Lương X Htrol Remix)"
"607e46d37d1b9f2de9389a4c","Xin Đừng Nhấc Máy (Masew Remix)"
"607e46d37d1b9f2de9389a4d","Đừng Như Người Dưng (ACV Remix)"
"607e46d37d1b9f2de9389a4e","Chàng Trai Sơ Mi Hồng (Orinn Remix)"
"607e46d37d1b9f2de9389a4f","Không Sao Em À (ACV Remix)"
"607e46d37d1b9f2de9389a50","Phải Chăng Em Đã Yêu (Orinn EDM Remix)"
"607e46d37d1b9f2de9389a51","Tình Bạn Diệu Kỳ (Masew Remix)"
"607e46d37d1b9f2de9389a52","Tình Yêu Màu Nắng (Long Nhật Remix)"
"607e46d37d1b9f2de9389a53","Dễ Đến Dễ Đi (Andy EDM Remix)"
"607e46d37d1b9f2de9389a54","Tình Bạn Diệu Kỳ (Orinn Remix)"
"607e46d37d1b9f2de9389a55","Hai Phút Hơn (TIPO Remix)"
"607e46d37d1b9f2de9389a56","Chưa Từng Thương Ai Đến Vậy (WRC Remix)"
"607e46d37d1b9f2de9389a57","Nhớ Người Hay Nhớ...(Orinn EDM Remix)"
"607e46d37d1b9f2de9389a58","Nhớ Người Hay Nhớ (TiLo X Nhí X San Remix)"
"607e46d37d1b9f2de9389a59","Anh Làm Gì Sai (Andy EDM Remix)"
"607e46d37d1b9f2de9389a5a","Yêu Em Từ Bé (ACV EDM Remix)"
"607e46d37d1b9f2de9389a5b","Where U At (Mee Remix)"
"607e4772cd96152fe74dfc45","Tay To"
"607e4772cd96152fe74dfc46","Nhớ Người Hay Nhớ"
"607e4772cd96152fe74dfc47","XTC Remix"
